Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"LC","Land Cover","036","Australia","5007","Area from MODIS","6978","Sparsely natural vegetated areas","2011","2011","1000 ha","","O","Missing value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6978","Sparsely natural vegetated areas","2016","2016","1000 ha","","O","Missing value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6978","Sparsely natural vegetated areas","2021","2021","1000 ha","","O","Missing value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6979","Terrestrial barren land","2001","2001","1000 ha","18408.18","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6979","Terrestrial barren land","2006","2006","1000 ha","19497.44","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6979","Terrestrial barren land","2011","2011","1000 ha","10823.4","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6979","Terrestrial barren land","2016","2016","1000 ha","11760.68","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6979","Terrestrial barren land","2021","2021","1000 ha","17356.95","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6980","Permanent snow and glaciers","2001","2001","1000 ha","3.67","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6980","Permanent snow and glaciers","2006","2006","1000 ha","7.49","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6980","Permanent snow and glaciers","2011","2011","1000 ha","60.3","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6980","Permanent snow and glaciers","2016","2016","1000 ha","16.86","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6980","Permanent snow and glaciers","2021","2021","1000 ha","3.71","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6981","Inland water bodies","2001","2001","1000 ha","2329.07","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6981","Inland water bodies","2006","2006","1000 ha","1821.97","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6981","Inland water bodies","2011","2011","1000 ha","1936.14","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6981","Inland water bodies","2016","2016","1000 ha","1914.85","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6981","Inland water bodies","2021","2021","1000 ha","1828.68","E","Estimated value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6982","Coastal water bodies and intertidal areas","2001","2001","1000 ha","","O","Missing value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6982","Coastal water bodies and intertidal areas","2006","2006","1000 ha","","O","Missing value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6982","Coastal water bodies and intertidal areas","2011","2011","1000 ha","","O","Missing value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6982","Coastal water bodies and intertidal areas","2016","2016","1000 ha","","O","Missing value"
"LC","Land Cover","036","Australia","5007","Area from MODIS","6982","Coastal water bodies and intertidal areas","2021","2021","1000 ha","","O","Missing value"
